:wmc,:dit,:noc,:cbo,:rfc,:lcom,:ca,:ce,:npm,:lcom3,:loc,:dam,:moa,:mfa,:cam,:ic,:cbm,:amc,:max_cc,:avg_cc,:bug
2.0,3.0,0.0,8.0,9.0,1.0,0.0,8.0,2.0,2.0,68.0,0.0,0.0,0.85714287,0.625,1.0,1.0,33.0,5.0,2.5,0.0
5.0,6.0,0.0,15.0,18.0,4.0,0.0,15.0,1.0,0.9166667,64.0,0.0,0.0,0.88,0.6666667,2.0,3.0,11.2,1.0,0.6,0.0
2.0,3.0,0.0,8.0,7.0,1.0,0.0,8.0,2.0,2.0,29.0,0.0,0.0,0.85714287,0.625,1.0,1.0,13.5,2.0,1.0,0.0
6.0,4.0,0.0,13.0,28.0,13.0,0.0,13.0,1.0,1.0,88.0,0.0,0.0,0.8333333,0.53333336,2.0,4.0,13.166667,1.0,0.6666667,0.0
3.0,2.0,0.0,16.0,27.0,3.0,1.0,15.0,1.0,1.0,161.0,0.0,0.0,0.9375,0.47619048,1.0,3.0,52.0,1.0,0.6666667,0.0
2.0,2.0,0.0,20.0,22.0,1.0,0.0,20.0,2.0,2.0,116.0,0.0,0.0,0.8,0.6666667,2.0,2.0,57.0,12.0,6.0,0.0
2.0,3.0,0.0,6.0,11.0,1.0,0.0,6.0,2.0,2.0,42.0,0.0,0.0,0.85714287,0.625,1.0,1.0,20.0,3.0,1.5,0.0
3.0,4.0,0.0,3.0,8.0,3.0,0.0,3.0,1.0,1.5,34.0,1.0,0.0,0.8947368,0.5555556,1.0,2.0,10.0,3.0,1.3333334,0.0
3.0,3.0,0.0,14.0,12.0,3.0,0.0,14.0,2.0,2.0,44.0,0.0,0.0,0.7777778,0.46666667,1.0,1.0,13.666667,3.0,1.3333334,0.0
5.0,3.0,0.0,15.0,21.0,10.0,0.0,15.0,5.0,1.0,131.0,0.0,0.0,0.8518519,0.5,0.0,0.0,24.2,6.0,1.8,0.0
3.0,1.0,0.0,27.0,18.0,1.0,17.0,10.0,1.0,0.75,62.0,0.5,0.0,0.0,0.5,0.0,0.0,19.0,4.0,1.3333334,0.0
2.0,3.0,0.0,13.0,12.0,1.0,0.0,13.0,2.0,2.0,49.0,0.0,0.0,0.85714287,0.625,1.0,1.0,23.5,2.0,1.0,0.0
6.0,1.0,0.0,9.0,39.0,15.0,1.0,8.0,4.0,1.0,789.0,0.0,0.0,0.0,0.23809524,0.0,0.0,130.0,13.0,8.333333,1.0
4.0,1.0,0.0,25.0,34.0,4.0,4.0,21.0,2.0,0.8888889,233.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,56.5,11.0,3.5,0.0
1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
5.0,6.0,0.0,21.0,30.0,4.0,0.0,21.0,1.0,0.9166667,139.0,0.0,0.0,0.875,0.6666667,2.0,3.0,26.2,1.0,0.6,0.0
4.0,6.0,0.0,9.0,13.0,4.0,0.0,9.0,1.0,1.0,43.0,0.0,0.0,0.9130435,0.5555556,2.0,2.0,9.0,1.0,0.5,0.0
6.0,5.0,0.0,22.0,35.0,3.0,0.0,22.0,1.0,0.8666667,226.0,0.0,0.0,0.84,0.73333335,2.0,3.0,36.166668,1.0,0.6666667,0.0
3.0,2.0,0.0,4.0,6.0,3.0,0.0,4.0,3.0,2.0,18.0,0.0,0.0,0.6666667,0.5,1.0,1.0,5.0,1.0,0.6666667,0.0
4.0,2.0,0.0,4.0,10.0,4.0,0.0,4.0,2.0,0.8888889,46.0,0.6666667,0.0,0.8,0.6666667,1.0,1.0,9.75,1.0,0.5,0.0
2.0,3.0,0.0,16.0,16.0,1.0,0.0,16.0,2.0,2.0,70.0,0.0,0.0,0.875,0.625,1.0,1.0,34.0,1.0,0.5,0.0
2.0,4.0,0.0,27.0,18.0,1.0,0.0,27.0,2.0,2.0,68.0,0.0,0.0,0.9375,0.625,2.0,2.0,33.0,1.0,0.5,0.0
4.0,2.0,0.0,30.0,65.0,4.0,0.0,30.0,2.0,0.82051283,672.0,0.23076923,0.0,0.8666667,0.5555556,0.0,0.0,163.75,9.0,2.5,0.0
3.0,3.0,0.0,8.0,14.0,1.0,0.0,8.0,2.0,0.75,46.0,0.5,0.0,0.94736844,0.6666667,0.0,0.0,13.666667,2.0,0.6666667,0.0
3.0,5.0,0.0,10.0,7.0,3.0,0.0,10.0,1.0,2.0,19.0,0.0,0.0,0.9130435,0.5,1.0,2.0,5.3333335,1.0,0.6666667,0.0
5.0,7.0,0.0,12.0,17.0,4.0,0.0,12.0,1.0,0.9166667,68.0,0.0,0.0,0.88461536,0.6666667,2.0,4.0,12.0,1.0,0.6,0.0
16.0,1.0,0.0,45.0,151.0,118.0,1.0,45.0,6.0,0.96666664,2420.0,0.5,0.0,0.0,0.16,0.0,0.0,150.125,34.0,6.75,0.0
4.0,4.0,0.0,22.0,35.0,4.0,3.0,19.0,3.0,1.0,121.0,0.0,0.0,0.9649123,0.5,3.0,5.0,28.5,1.0,0.5,0.0
6.0,5.0,0.0,5.0,10.0,15.0,0.0,5.0,2.0,2.0,31.0,0.0,0.0,0.8780488,0.375,3.0,6.0,4.1666665,1.0,0.8333333,0.0
5.0,6.0,0.0,19.0,23.0,4.0,0.0,19.0,1.0,0.9166667,84.0,0.0,0.0,0.88,0.6666667,2.0,3.0,15.2,1.0,0.6,0.0
2.0,3.0,0.0,11.0,17.0,1.0,0.0,11.0,2.0,2.0,66.0,0.0,0.0,0.875,0.625,1.0,1.0,32.0,7.0,3.5,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,5.0,0.0,9.0,13.0,4.0,0.0,9.0,1.0,1.0,43.0,0.0,0.0,0.9130435,0.5555556,2.0,2.0,9.0,1.0,0.5,0.0
5.0,3.0,0.0,13.0,22.0,4.0,1.0,12.0,1.0,0.625,90.0,1.0,0.0,0.92,0.35,2.0,5.0,16.6,1.0,0.8,1.0
5.0,4.0,0.0,15.0,18.0,8.0,3.0,12.0,4.0,1.0,70.0,0.0,0.0,0.9347826,0.5,3.0,5.0,12.4,1.0,0.6,0.0
6.0,5.0,0.0,15.0,21.0,15.0,0.0,15.0,1.0,1.0,117.0,0.0,0.0,0.85714287,0.4047619,1.0,2.0,18.0,4.0,1.5,0.0
6.0,1.0,0.0,3.0,8.0,5.0,1.0,2.0,6.0,0.8,54.0,1.0,0.0,0.0,0.5833333,0.0,0.0,7.1666665,1.0,0.8333333,0.0
3.0,4.0,0.0,11.0,47.0,1.0,0.0,11.0,3.0,0.5,198.0,1.0,0.0,0.9649123,0.46666667,1.0,6.0,63.666668,4.0,1.6666666,0.0
7.0,5.0,0.0,25.0,35.0,15.0,6.0,19.0,5.0,0.9444444,155.0,0.0,0.0,0.9137931,0.5,4.0,11.0,20.714285,1.0,0.71428573,0.0
4.0,7.0,0.0,9.0,13.0,4.0,0.0,9.0,1.0,1.0,43.0,0.0,0.0,0.9166667,0.5555556,2.0,2.0,9.0,1.0,0.5,0.0
5.0,7.0,0.0,18.0,20.0,4.0,0.0,18.0,1.0,0.9166667,74.0,0.0,0.0,0.88461536,0.6666667,2.0,3.0,13.2,1.0,0.6,0.0
2.0,3.0,0.0,16.0,18.0,1.0,0.0,16.0,2.0,2.0,85.0,0.0,0.0,0.85714287,0.625,1.0,1.0,41.5,9.0,4.5,0.0
3.0,3.0,0.0,12.0,22.0,1.0,0.0,12.0,2.0,0.5,153.0,1.0,0.0,0.875,0.625,1.0,1.0,49.666668,6.0,2.0,0.0
2.0,1.0,0.0,14.0,25.0,1.0,0.0,14.0,2.0,2.0,108.0,1.0,0.0,0.0,0.6666667,0.0,0.0,52.0,3.0,1.5,0.0
6.0,4.0,0.0,29.0,43.0,3.0,2.0,27.0,5.0,0.8666667,436.0,0.0,0.0,0.9354839,0.73333335,3.0,7.0,71.166664,1.0,0.6666667,0.0
5.0,6.0,0.0,15.0,19.0,4.0,0.0,15.0,1.0,0.9166667,79.0,0.0,0.0,0.88,0.6666667,2.0,3.0,14.2,1.0,0.6,0.0
4.0,5.0,0.0,9.0,13.0,4.0,0.0,9.0,1.0,1.0,43.0,0.0,0.0,0.9130435,0.5555556,2.0,2.0,9.0,1.0,0.5,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.0,0.0,31.0,65.0,4.0,0.0,31.0,2.0,0.82051283,657.0,0.23076923,0.0,0.8666667,0.5555556,0.0,0.0,160.0,8.0,2.25,0.0
3.0,3.0,0.0,8.0,14.0,1.0,0.0,8.0,2.0,0.75,46.0,0.5,0.0,0.94736844,0.6666667,0.0,0.0,13.666667,2.0,0.6666667,0.0
4.0,4.0,0.0,22.0,29.0,4.0,3.0,19.0,3.0,1.0,179.0,0.0,0.0,0.9770115,0.5555556,3.0,9.0,43.0,1.0,0.5,0.0
2.0,3.0,0.0,7.0,8.0,1.0,0.0,7.0,2.0,2.0,29.0,0.0,0.0,0.875,0.625,1.0,1.0,13.5,2.0,1.0,0.0
7.0,4.0,0.0,16.0,27.0,15.0,0.0,16.0,1.0,0.9444444,145.0,0.0,0.0,0.8,0.6111111,2.0,5.0,19.285715,1.0,0.71428573,0.0
5.0,4.0,0.0,20.0,31.0,8.0,1.0,19.0,3.0,1.0,190.0,0.0,0.0,0.96590906,0.4375,3.0,9.0,36.4,5.0,1.4,0.0
1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
27.0,1.0,0.0,58.0,121.0,173.0,34.0,24.0,24.0,0.9519231,2559.0,0.1875,1.0,0.0,0.13186814,0.0,0.0,93.18519,27.0,6.814815,0.0
6.0,4.0,4.0,18.0,31.0,13.0,6.0,12.0,3.0,1.0,102.0,0.0,0.0,0.9322034,0.46666667,3.0,5.0,15.5,1.0,0.6666667,0.0
6.0,5.0,0.0,11.0,27.0,15.0,1.0,11.0,4.0,1.0,74.0,0.5,0.0,0.96330273,0.45,3.0,4.0,11.0,2.0,1.0,0.0
1.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
5.0,7.0,0.0,25.0,36.0,4.0,0.0,25.0,1.0,0.9166667,233.0,0.0,0.0,0.88,0.6666667,3.0,4.0,45.0,1.0,0.6,0.0
21.0,1.0,0.0,9.0,47.0,208.0,0.0,9.0,20.0,0.975,146.0,0.0,0.0,0.0,0.19375,0.0,0.0,5.857143,1.0,0.9047619,0.0
4.0,1.0,0.0,9.0,4.0,6.0,5.0,4.0,4.0,2.0,4.0,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,1.0,1.0,0.0
4.0,1.0,0.0,8.0,17.0,0.0,3.0,5.0,2.0,0.8888889,68.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,15.25,4.0,1.25,0.0
2.0,2.0,0.0,13.0,11.0,1.0,0.0,13.0,2.0,2.0,33.0,0.0,0.0,0.8,0.6666667,1.0,1.0,15.5,1.0,0.5,0.0
3.0,5.0,0.0,7.0,18.0,3.0,0.0,7.0,3.0,1.5,59.0,1.0,0.0,0.96153843,1.0,3.0,8.0,18.333334,5.0,2.0,0.0
4.0,6.0,0.0,9.0,13.0,4.0,0.0,9.0,1.0,1.0,43.0,0.0,0.0,0.9130435,0.5555556,2.0,2.0,9.0,1.0,0.5,0.0
