:wmc,:dit,:noc,:cbo,:rfc,:lcom,:ca,:ce,:npm,:lcom3,:loc,:dam,:moa,:mfa,:cam,:ic,:cbm,:amc,:max_cc,:avg_cc,:bug
2.0,3.0,0.0,9.0,12.0,1.0,0.0,9.0,2.0,1.0,50.0,0.0,0.0,0.85714287,0.625,1.0,1.0,23.5,3.0,1.5,0.0
2.0,2.0,0.0,21.0,17.0,1.0,1.0,20.0,1.0,2.0,87.0,0.0,0.0,0.85714287,0.625,1.0,1.0,42.5,1.0,0.5,0.0
2.0,3.0,0.0,16.0,16.0,1.0,0.0,16.0,2.0,2.0,58.0,0.0,0.0,0.85714287,0.625,1.0,1.0,28.0,1.0,0.5,0.0
3.0,1.0,0.0,9.0,10.0,3.0,0.0,9.0,2.0,2.0,31.0,0.0,0.0,0.0,0.5,0.0,0.0,9.333333,1.0,0.6666667,0.0
2.0,1.0,0.0,19.0,13.0,0.0,10.0,9.0,2.0,0.0,81.0,1.0,2.0,0.0,0.5833333,0.0,0.0,38.0,1.0,0.5,0.0
2.0,3.0,0.0,5.0,6.0,1.0,0.0,5.0,2.0,2.0,18.0,0.0,0.0,0.85714287,0.625,1.0,1.0,8.0,1.0,0.5,0.0
6.0,4.0,14.0,26.0,20.0,9.0,14.0,12.0,3.0,0.8,85.0,0.0,0.0,0.82608694,0.6,1.0,3.0,12.833333,1.0,0.6666667,0.0
2.0,3.0,0.0,8.0,12.0,1.0,0.0,8.0,2.0,1.5,48.0,0.5,0.0,0.85714287,0.625,1.0,1.0,22.0,3.0,1.5,0.0
5.0,8.0,0.0,4.0,10.0,10.0,1.0,3.0,2.0,1.0833334,35.0,0.0,0.0,0.9166667,1.0,4.0,4.0,5.4,1.0,0.6,0.0
3.0,2.0,0.0,5.0,5.0,3.0,0.0,5.0,1.0,2.0,15.0,0.0,0.0,0.6,0.6666667,1.0,1.0,4.0,1.0,0.6666667,0.0
2.0,3.0,0.0,24.0,29.0,1.0,0.0,24.0,2.0,1.0,177.0,0.0,0.0,0.85714287,0.625,1.0,1.0,85.5,1.0,0.5,1.0
6.0,5.0,0.0,13.0,16.0,13.0,0.0,13.0,3.0,1.0,51.0,0.0,0.0,0.8333333,0.36,3.0,4.0,7.0,1.0,0.6666667,0.0
2.0,4.0,0.0,28.0,26.0,1.0,0.0,28.0,2.0,1.0,206.0,0.0,0.0,0.9285714,0.625,1.0,1.0,99.5,1.0,0.5,0.0
2.0,2.0,0.0,9.0,8.0,1.0,0.0,9.0,2.0,2.0,56.0,0.0,0.0,0.8,0.6666667,1.0,1.0,27.0,1.0,0.5,0.0
5.0,5.0,0.0,14.0,26.0,8.0,2.0,12.0,4.0,1.0,112.0,0.0,0.0,0.9375,0.5625,2.0,4.0,20.8,1.0,0.6,0.0
6.0,5.0,0.0,27.0,30.0,9.0,0.0,27.0,2.0,0.95,122.0,0.0,0.0,0.85714287,0.6,3.0,5.0,18.666666,1.0,0.6666667,0.0
2.0,4.0,0.0,22.0,20.0,1.0,0.0,22.0,2.0,1.0,72.0,0.0,0.0,0.9285714,0.625,1.0,1.0,34.5,1.0,0.5,0.0
6.0,4.0,0.0,13.0,36.0,1.0,0.0,13.0,3.0,0.8,314.0,0.5,0.0,0.9375,0.31428573,2.0,2.0,50.333332,5.0,1.5,1.0
6.0,6.0,0.0,9.0,16.0,9.0,2.0,7.0,4.0,0.95,93.0,0.0,0.0,0.85714287,0.6,2.0,2.0,13.833333,2.0,0.8333333,0.0
2.0,2.0,0.0,8.0,7.0,1.0,0.0,8.0,2.0,2.0,22.0,0.0,0.0,0.8,0.6666667,1.0,1.0,10.0,1.0,0.5,0.0
5.0,4.0,0.0,17.0,34.0,4.0,0.0,17.0,1.0,0.9166667,533.0,0.22222222,0.0,0.9347826,0.5,2.0,2.0,103.8,2.0,1.0,0.0
20.0,1.0,0.0,54.0,124.0,176.0,17.0,37.0,15.0,0.84210527,1556.0,0.33333334,0.0,0.0,0.13360325,0.0,0.0,76.65,6.0,3.05,1.0
3.0,2.0,0.0,12.0,16.0,3.0,0.0,12.0,3.0,1.0,76.0,0.0,0.0,0.6666667,0.5555556,1.0,1.0,23.666666,4.0,1.6666666,0.0
2.0,3.0,0.0,33.0,31.0,1.0,0.0,33.0,2.0,1.0,111.0,0.0,0.0,0.85714287,0.625,1.0,1.0,54.0,1.0,0.5,0.0
4.0,6.0,0.0,9.0,14.0,4.0,0.0,9.0,1.0,1.0,49.0,0.0,0.0,0.9259259,0.5555556,2.0,2.0,10.5,1.0,0.5,0.0
2.0,4.0,0.0,15.0,12.0,1.0,0.0,15.0,2.0,2.0,84.0,0.0,0.0,0.9285714,0.625,1.0,2.0,41.0,1.0,0.5,0.0
2.0,3.0,0.0,18.0,24.0,1.0,0.0,18.0,2.0,1.0,103.0,0.0,0.0,0.85714287,0.625,1.0,1.0,49.5,1.0,0.5,0.0
5.0,6.0,0.0,12.0,22.0,8.0,0.0,12.0,1.0,1.0,89.0,0.0,0.0,0.89285713,0.6666667,2.0,3.0,16.0,1.0,0.6,0.0
6.0,7.0,0.0,10.0,15.0,13.0,0.0,10.0,2.0,1.0,49.0,0.0,0.0,0.88235295,0.46666667,4.0,6.0,6.6666665,1.0,0.6666667,0.0
3.0,2.0,24.0,35.0,8.0,3.0,24.0,11.0,3.0,2.0,32.0,0.0,0.0,0.6666667,0.5555556,1.0,1.0,9.666667,1.0,0.6666667,0.0
2.0,1.0,0.0,9.0,4.0,0.0,1.0,8.0,2.0,0.0,24.0,1.0,2.0,0.0,0.6,0.0,0.0,10.0,1.0,0.5,0.0
2.0,4.0,0.0,6.0,3.0,1.0,0.0,6.0,2.0,2.0,7.0,0.0,0.0,0.9285714,0.625,1.0,1.0,2.5,1.0,0.5,0.0
2.0,3.0,0.0,16.0,13.0,1.0,0.0,16.0,2.0,2.0,45.0,0.0,0.0,0.85714287,0.625,1.0,1.0,21.5,1.0,0.5,0.0
2.0,4.0,0.0,12.0,10.0,1.0,0.0,12.0,2.0,2.0,47.0,0.0,0.0,0.8333333,0.75,1.0,1.0,22.0,1.0,0.5,1.0
2.0,2.0,0.0,15.0,22.0,1.0,0.0,15.0,2.0,1.0,102.0,0.0,0.0,0.5,0.6666667,0.0,0.0,49.0,6.0,3.0,1.0
2.0,3.0,0.0,16.0,19.0,1.0,0.0,16.0,2.0,1.0,72.0,0.0,0.0,0.85714287,0.625,1.0,1.0,34.5,1.0,0.5,0.0
2.0,3.0,0.0,14.0,17.0,1.0,0.0,14.0,2.0,1.0,96.0,0.0,0.0,0.85714287,0.625,1.0,1.0,45.5,1.0,0.5,0.0
6.0,5.0,0.0,17.0,22.0,13.0,0.0,17.0,3.0,1.0,104.0,0.0,0.0,0.8333333,0.36,3.0,4.0,15.5,3.0,1.0,0.0
2.0,2.0,0.0,9.0,8.0,1.0,0.0,9.0,2.0,2.0,23.0,0.0,0.0,0.8,0.6666667,1.0,1.0,10.5,1.0,0.5,0.0
5.0,1.0,0.0,12.0,18.0,6.0,0.0,12.0,4.0,0.95,173.0,0.0,0.0,0.0,0.3,0.0,0.0,32.6,4.0,3.2,0.0
4.0,5.0,0.0,2.0,9.0,6.0,0.0,2.0,2.0,1.1111112,37.0,0.0,0.0,0.92,1.0,2.0,2.0,7.5,1.0,0.5,0.0
2.0,5.0,0.0,27.0,22.0,1.0,0.0,27.0,2.0,1.0,103.0,0.0,0.0,0.9375,0.625,1.0,1.0,49.5,1.0,0.5,0.0
2.0,1.0,0.0,10.0,16.0,0.0,1.0,9.0,1.0,0.0,58.0,1.0,0.0,0.0,0.5714286,0.0,0.0,27.5,1.0,0.5,0.0
4.0,5.0,0.0,3.0,9.0,6.0,1.0,2.0,1.0,1.1111112,32.0,0.0,0.0,0.92,1.0,2.0,2.0,6.25,1.0,0.5,0.0
4.0,5.0,0.0,12.0,19.0,4.0,1.0,11.0,3.0,1.0,77.0,0.0,0.0,0.9310345,0.5555556,2.0,2.0,17.5,1.0,0.5,0.0
