:wmc,:dit,:noc,:cbo,:rfc,:lcom,:ca,:ce,:npm,:lcom3,:loc,:dam,:moa,:mfa,:cam,:ic,:cbm,:amc,:max_cc,:avg_cc,:bug
9.0,1.0,0.0,13.0,36.0,26.0,1.0,12.0,9.0,0.625,210.0,1.0,0.0,0.0,0.35185185,0.0,0.0,22.0,3.0,1.3333334,0.0
12.0,1.0,0.0,14.0,58.0,56.0,0.0,14.0,7.0,0.77272725,343.0,0.5,1.0,0.0,0.3888889,0.0,0.0,27.083334,5.0,1.8333334,0.0
7.0,1.0,0.0,19.0,37.0,15.0,4.0,15.0,5.0,0.6666667,288.0,0.0,0.0,0.0,0.4,0.0,0.0,40.0,8.0,3.857143,0.0
2.0,3.0,0.0,4.0,4.0,1.0,0.0,4.0,2.0,2.0,10.0,0.0,0.0,0.85714287,0.6666667,0.0,0.0,4.0,1.0,0.5,0.0
5.0,3.0,0.0,4.0,11.0,10.0,1.0,3.0,1.0,2.0,40.0,0.0,0.0,0.7647059,0.56,1.0,3.0,7.0,1.0,0.8,0.0
3.0,3.0,0.0,5.0,16.0,1.0,0.0,5.0,1.0,1.0,78.0,0.6666667,0.0,0.9285714,0.75,1.0,1.0,24.0,5.0,1.6666666,0.0
2.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,2.0,2.0,45.0,0.0,0.0,0.0,0.75,0.0,0.0,21.5,9.0,4.5,0.0
1.0,1.0,0.0,4.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
2.0,4.0,0.0,10.0,21.0,1.0,0.0,10.0,2.0,1.8888888,166.0,0.8888889,0.0,0.90909094,0.625,1.0,1.0,77.5,1.0,0.5,0.0
7.0,5.0,0.0,4.0,15.0,1.0,1.0,3.0,6.0,0.16666667,42.0,1.0,1.0,0.925,0.3809524,1.0,1.0,4.857143,1.0,0.85714287,0.0
4.0,3.0,0.0,14.0,25.0,0.0,3.0,11.0,4.0,0.7407407,174.0,0.5555556,0.0,0.84615386,0.5,0.0,0.0,40.25,4.0,1.25,0.0
2.0,5.0,0.0,9.0,17.0,1.0,0.0,9.0,1.0,2.0,64.0,1.0,0.0,0.992126,0.75,1.0,6.0,30.0,7.0,3.5,0.0
14.0,1.0,0.0,6.0,39.0,61.0,1.0,5.0,13.0,0.8901099,208.0,0.85714287,1.0,0.0,0.3846154,0.0,0.0,13.357142,3.0,1.1428572,0.0
2.0,3.0,0.0,3.0,6.0,1.0,0.0,3.0,1.0,2.0,26.0,1.0,0.0,0.9285714,0.75,1.0,1.0,11.5,4.0,2.0,0.0
4.0,3.0,0.0,12.0,28.0,0.0,0.0,12.0,2.0,0.8333333,244.0,0.625,0.0,0.9,0.46666667,0.0,0.0,58.0,7.0,2.0,0.0
4.0,2.0,0.0,29.0,56.0,4.0,0.0,29.0,1.0,0.8333333,440.0,0.5,1.0,0.71428573,0.5,2.0,3.0,108.5,1.0,0.5,1.0
26.0,1.0,0.0,148.0,64.0,219.0,142.0,6.0,23.0,0.79333335,596.0,0.5,0.0,0.0,0.24,0.0,0.0,21.692308,3.0,1.3461539,0.0
12.0,1.0,0.0,67.0,161.0,50.0,6.0,61.0,2.0,0.93939394,1306.0,0.11111111,0.0,0.0,0.19886364,0.0,0.0,107.083336,22.0,7.0,1.0
2.0,3.0,0.0,9.0,10.0,1.0,0.0,9.0,2.0,1.0,36.0,0.0,0.0,0.9,0.625,1.0,1.0,16.5,1.0,0.5,0.0
2.0,1.0,0.0,5.0,17.0,0.0,1.0,5.0,1.0,0.0,128.0,0.8,1.0,0.0,0.5833333,0.0,0.0,60.5,7.0,3.5,0.0
3.0,3.0,0.0,4.0,6.0,3.0,0.0,4.0,3.0,2.0,14.0,0.0,0.0,0.7777778,0.5833333,1.0,1.0,3.6666667,1.0,0.6666667,0.0
15.0,1.0,0.0,16.0,33.0,85.0,2.0,15.0,11.0,0.9375,294.0,0.375,0.0,0.0,0.4047619,0.0,0.0,18.066668,2.0,1.2,0.0
4.0,2.0,0.0,9.0,15.0,6.0,0.0,9.0,1.0,2.0,45.0,0.0,0.0,0.85714287,0.5,1.0,2.0,10.25,1.0,0.5,0.0
10.0,1.0,0.0,10.0,10.0,45.0,5.0,5.0,10.0,2.0,10.0,0.0,0.0,0.0,0.325,0.0,0.0,0.0,1.0,1.0,0.0
3.0,2.0,23.0,26.0,4.0,1.0,23.0,3.0,3.0,0.5,14.0,1.0,0.0,0.8181818,0.6666667,0.0,0.0,3.3333333,1.0,0.6666667,0.0
